1,Sundaes,2017-07-26 22:49:13.115207,2017-07-26 22:57:49.629094,Bursting With Fun
2,Salads,2017-07-26 22:49:13.127366,2017-07-26 23:10:47.271186,Bursting With Goodness
4,Drinks,2017-07-26 22:49:13.123843,2017-07-26 23:13:35.60026,Bursting With Flavor
3,Grillers,2017-07-26 22:49:13.120165,2017-07-26 23:14:18.278389,Bursting With Taste
