1,Monsey,5.00,2017-08-07 23:12:56.779629,2017-08-07 23:12:56.779629
2,Forshay,7.00,2017-08-07 23:12:56.787797,2017-08-07 23:12:56.787797
3,Airmont,7.00,2017-08-07 23:12:56.798569,2017-08-07 23:12:56.798569
4,Wesley Hills,7.00,2017-08-07 23:12:56.804689,2017-08-07 23:12:56.804689
5,Spring Valley,9.00,2017-08-07 23:12:57.02087,2017-08-07 23:12:57.02087
6,New Square,9.00,2017-08-07 23:12:57.031608,2017-08-07 23:12:57.031608
7,Pomona,12.00,2017-08-07 23:12:57.038455,2017-08-07 23:12:57.038455
8,Suffern,15.00,2017-08-07 23:12:57.045072,2017-08-07 23:12:57.045072
9,Greater Airmont,15.00,2017-08-07 23:12:57.054618,2017-08-07 23:12:57.054618
